mrxlocation,detectivelocation1,detectivelocation2,detectivelocation3,detectivelocation4,detectivelocation5,detective1taxi,detective1bus,detective1train,detective2taxi,detective2bus,detective2train,detective3taxi,detective3bus,detective3train,detective4taxi,detective4bus,detective4train,detective5taxi,detective5bus,detective5train,mrxtaxi,mrxbus,mrxtrain,mrxdouble,mrxsecret,turnsleft,newmrxlocation
108,98,114,23,65,101,6,6,1,3,7,3,5,4,4,4,6,3,5,4,4,26,16,8,0,3,12,119
119,83,13,79,82,126,4,4,4,4,4,4,5,6,1,4,5,3,2,7,3,29,17,8,0,3,11,136
136,140,89,102,115,63,4,4,3,4,4,3,3,4,4,1,7,3,4,6,1,31,18,9,0,3,10,162
162,82,65,103,127,128,4,3,3,4,5,1,2,4,4,0,7,3,4,4,2,32,20,10,0,3,9,136
136,86,67,140,116,161,1,4,4,4,4,1,4,2,3,0,6,3,4,3,2,32,24,10,0,3,8,119
119,174,108,89,87,128,3,3,2,0,5,3,4,4,0,1,3,4,4,2,2,32,26,12,0,3,7,107
107,71,105,116,175,161,3,4,0,1,2,4,0,4,3,2,3,2,4,1,2,33,29,12,0,3,6,119
119,108,107,72,106,162,0,3,3,4,0,2,2,4,0,0,2,4,1,3,2,35,31,12,0,3,5,136
78,91,53,155,103,174,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,79
79,86,175,154,69,105,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,9,2,2,1,5,22,47
47,162,86,140,106,52,9,8,4,9,8,4,10,7,4,9,8,4,10,7,4,11,4,1,0,5,20,62
62,105,102,136,51,89,8,8,4,9,7,4,8,8,4,9,7,4,10,7,3,13,5,2,0,5,19,48
48,135,86,89,67,52,7,8,4,9,6,4,7,8,4,10,7,2,8,7,4,15,6,3,0,5,18,63
63,13,52,51,23,128,7,8,3,9,5,4,7,7,4,10,6,2,7,7,4,15,9,4,0,5,17,100
100,13,52,160,67,46,9,6,2,6,7,4,6,7,4,9,4,4,7,8,2,18,9,5,0,5,16,101
101,78,128,67,86,111,7,7,2,5,7,4,9,6,1,6,6,4,9,4,3,19,11,7,0,4,15,114
114,100,104,89,102,77,9,3,3,5,6,4,5,7,3,9,5,1,7,6,2,19,14,8,0,4,14,126
126,86,63,58,140,67,4,6,4,9,2,3,7,5,2,5,7,2,9,4,1,19,17,9,0,4,13,115
115,1,82,80,52,111,7,4,2,5,6,2,8,2,3,4,5,4,9,4,0,19,20,10,0,4,12,126
126,13,8,99,100,67,4,4,4,6,4,2,7,2,3,9,3,0,5,5,2,20,23,10,0,4,11,140
140,89,98,1,101,102,4,4,3,6,2,3,5,4,2,8,3,0,5,4,2,22,24,11,0,4,10,153
153,58,103,128,114,110,5,3,2,4,4,2,4,4,2,7,3,0,5,2,3,25,25,12,0,3,9,180
180,126,86,109,185,46,6,3,0,3,4,2,4,2,3,4,4,1,5,2,2,28,25,13,0,3,8,193
193,116,115,110,13,128,3,3,2,5,3,0,3,2,3,5,2,1,4,4,0,29,26,15,0,3,7,181
181,108,126,109,142,52,3,2,2,4,3,0,2,2,3,4,3,0,5,1,1,30,29,15,0,3,6,182
182,40,135,114,158,124,4,1,1,3,1,2,3,3,0,3,3,0,1,2,3,33,30,15,0,3,5,195
195,115,52,142,153,128,2,3,0,3,1,1,2,3,0,1,1,3,3,0,2,35,32,15,0,3,4,194
194,185,157,102,67,180,3,0,1,2,2,0,1,3,0,3,0,1,1,0,3,35,35,16,0,3,3,192
192,51,115,184,170,181,2,0,1,0,3,0,2,0,1,1,2,0,0,0,3,40,35,16,0,2,2,190
190,39,168,157,115,181,1,0,1,1,0,1,0,2,0,0,3,0,0,0,3,42,35,16,0,2,1,180
104,26,91,174,29,53,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,116
116,69,161,105,27,16,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,3,3,2,5,23,133
133,15,26,108,199,52,9,8,4,9,8,4,9,8,4,10,7,4,9,8,4,10,4,3,1,5,21,126
126,116,39,86,14,198,9,7,4,8,8,4,9,7,4,9,7,4,9,7,4,11,7,3,0,4,19,114
114,187,13,104,52,127,8,7,4,9,6,4,8,7,4,7,8,4,8,7,4,14,8,3,0,4,18,101
101,86,115,116,185,67,7,7,4,7,7,4,7,7,4,8,6,4,9,6,3,15,10,4,0,4,17,100
100,127,114,102,153,79,7,6,4,6,7,4,7,6,4,8,6,3,9,6,2,15,12,6,0,4,16,82
82,67,133,101,46,154,7,5,4,6,6,4,5,7,4,9,6,1,7,6,3,18,13,7,0,3,15,81
81,34,140,79,100,153,9,5,1,6,5,4,7,5,3,4,7,4,7,5,3,19,16,8,0,2,14,64
64,111,124,82,22,67,4,6,4,7,4,3,6,4,4,9,4,1,7,5,2,18,20,9,0,2,13,63
63,65,79,100,124,153,9,3,1,7,5,1,6,3,4,4,5,4,7,3,3,17,24,10,0,2,12,34
34,77,140,111,22,63,4,4,4,7,3,2,6,2,4,9,2,1,7,4,1,17,27,11,0,2,11,46
46,34,79,153,94,48,8,2,1,6,2,3,7,3,1,4,3,4,6,4,1,19,28,13,0,1,10,13
13,111,35,22,78,74,7,3,0,5,4,1,8,1,1,6,1,3,4,2,4,20,31,13,0,1,9,89
89,61,100,22,46,11,5,1,3,7,2,0,4,4,1,4,2,3,7,1,1,23,32,13,0,1,8,128
128,113,62,22,13,23,6,2,0,4,1,3,6,1,1,4,2,2,4,3,1,26,33,14,0,0,7,161
161,23,125,79,67,89,5,1,1,5,2,0,3,1,3,4,2,1,4,2,1,29,33,15,0,0,6,174
174,67,131,82,13,71,3,1,2,4,2,0,4,1,1,5,0,1,3,2,1,30,35,16,0,0,5,173
173,140,130,84,72,89,4,0,1,3,2,0,2,1,2,2,2,1,5,0,0,32,36,17,0,0,4,171
171,67,105,139,128,107,1,1,2,4,0,0,2,2,0,4,0,0,2,1,1,34,37,18,0,0,3,173
173,108,89,154,188,161,3,0,0,1,1,1,1,2,0,3,0,0,2,0,1,36,38,19,0,0,2,171
171,135,128,117,88,156,1,0,1,2,0,0,2,0,0,0,1,1,1,1,0,39,39,19,0,0,1,199
127,112,94,141,123,138,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,127
127,142,77,152,149,100,10,8,4,11,7,4,10,8,4,10,8,4,10,8,4,6,4,3,1,5,22,127
127,82,123,78,153,143,10,7,4,9,8,4,11,6,4,9,8,4,9,8,4,9,4,3,0,5,20,126
126,79,124,128,111,101,10,6,4,9,7,4,8,8,4,9,8,3,9,7,4,12,5,4,0,4,19,115
115,89,111,153,93,114,8,8,3,8,7,4,9,8,2,10,6,3,8,7,4,13,5,7,0,4,18,157
157,92,113,154,79,67,9,6,3,7,7,4,8,8,2,8,7,3,8,8,2,16,5,9,0,3,17,133
133,67,93,114,102,140,8,7,2,8,6,3,6,7,4,8,7,2,8,7,2,18,6,10,0,3,16,157
157,94,131,127,154,89,7,6,3,5,7,4,8,6,2,8,6,2,8,7,1,20,7,11,0,3,15,194
194,156,128,130,115,77,8,5,2,8,7,0,4,7,4,7,6,2,7,5,3,22,9,12,0,2,14,195
195,58,127,139,154,142,7,4,3,6,6,2,3,7,4,8,4,2,8,6,0,24,12,12,0,1,13,194
194,156,153,116,133,46,8,3,2,2,7,4,8,5,0,6,5,2,7,3,3,24,16,12,0,1,12,193
193,127,79,184,167,157,7,5,0,7,3,2,8,2,2,1,7,4,6,4,2,25,18,13,0,1,11,194
194,156,111,133,153,180,5,4,2,7,3,1,6,5,0,0,7,4,8,1,2,27,19,14,0,1,10,192
192,154,163,180,193,157,5,3,2,7,3,0,0,6,4,7,1,2,6,4,0,28,22,15,0,0,9,190
127,155,141,123,53,26,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,126
126,39,69,142,167,148,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,131
131,149,68,153,52,116,9,8,4,9,8,4,9,8,4,9,8,4,10,7,4,9,4,3,0,5,20,125
125,127,39,67,163,123,10,6,4,8,8,4,8,8,4,9,8,3,8,8,4,11,5,4,0,5,19,112
112,51,124,102,111,133,7,8,4,8,7,4,8,7,4,9,8,2,9,6,4,12,7,5,0,5,18,99
99,140,100,67,38,153,9,5,4,9,7,2,8,6,4,6,8,4,8,6,4,12,11,5,0,5,17,110
110,51,124,89,80,111,5,8,4,8,5,4,9,5,3,8,7,2,8,6,3,13,12,7,0,5,16,98
98,124,13,67,99,109,8,5,3,9,5,2,4,8,4,7,7,2,7,5,4,15,13,8,0,5,15,97
97,112,46,79,77,110,6,7,2,9,5,1,4,8,3,8,4,3,6,5,4,16,14,10,0,5,14,98
98,99,79,96,109,78,5,7,2,9,5,0,7,4,3,5,5,4,4,7,3,18,15,11,0,5,13,110
106,103,91,94,155,138,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,89
89,124,167,105,102,75,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,2,3,1,5,22,82
82,59,89,183,153,115,9,8,4,10,7,4,9,8,4,10,7,4,9,8,4,11,4,2,0,4,20,65
65,196,127,76,140,184,8,8,4,8,8,4,8,8,4,10,7,3,10,6,4,13,5,3,0,4,19,64
64,61,133,184,132,197,7,8,4,8,7,4,7,8,4,9,7,3,9,6,4,17,6,3,0,3,18,63
63,195,140,153,157,46,8,6,4,8,7,3,7,7,4,8,6,4,6,8,4,19,8,3,0,3,17,65
65,182,156,34,111,133,7,6,4,8,5,4,6,7,4,7,7,3,7,7,3,21,9,4,0,3,16,35
35,46,127,181,79,154,6,6,4,7,6,3,6,6,4,7,7,2,8,4,4,21,12,5,0,3,15,36
36,140,180,102,47,63,7,4,4,5,6,4,7,5,3,5,6,4,6,7,2,24,13,5,0,3,14,35
35,34,190,128,64,83,4,6,4,5,5,4,7,4,3,5,7,2,6,5,3,26,14,6,0,3,13,36
36,191,89,102,81,10,5,4,4,7,4,2,5,5,3,4,7,2,3,6,4,28,15,7,0,3,12,49
49,82,21,67,163,86,3,7,2,2,6,4,7,4,1,5,3,4,5,4,3,29,17,8,0,3,11,50
50,33,52,111,66,51,1,6,4,5,3,3,5,3,3,2,7,2,6,4,1,31,18,9,0,3,10,37
37,68,79,13,82,46,5,4,1,5,3,2,5,2,3,1,7,2,0,6,4,33,19,10,0,3,9,36
36,51,13,63,67,65,4,4,1,0,6,3,5,2,2,5,2,2,1,6,2,33,21,12,0,3,8,49
49,34,39,52,46,82,5,1,2,3,4,1,5,1,2,0,6,2,1,5,2,33,24,13,0,3,7,36
36,79,65,51,25,22,0,6,1,0,5,2,4,1,2,2,4,1,5,0,2,35,25,14,0,3,6,37
37,39,38,22,67,35,1,4,1,3,1,2,0,4,2,0,6,0,4,0,2,37,26,15,0,3,5,24
24,52,82,65,50,36,0,4,1,0,5,0,0,3,2,2,1,2,3,0,2,39,28,15,0,3,4,38
38,67,22,37,13,49,0,4,0,0,2,2,2,0,2,0,3,1,1,1,2,40,31,15,0,3,3,25
25,66,52,3,24,23,0,1,2,0,2,1,0,1,2,1,0,2,0,3,0,41,34,15,0,3,2,39
39,67,37,41,22,66,0,2,0,0,0,2,0,1,1,0,0,2,0,1,2,41,37,15,0,3,1,25
45,26,174,94,117,50,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,61
61,88,37,74,161,15,10,8,4,10,8,4,11,7,4,10,8,4,10,8,4,6,4,3,1,5,22,47
47,14,160,58,23,89,9,8,4,9,8,4,11,6,4,9,8,4,9,8,4,8,5,3,0,5,20,62
62,37,128,105,74,13,8,8,4,8,8,4,8,8,4,11,5,4,9,7,4,10,7,3,0,5,19,48
48,46,87,58,89,23,9,7,3,8,7,4,10,5,4,8,8,3,7,8,4,11,8,5,0,5,18,63
63,86,22,67,34,75,8,6,4,6,8,4,8,8,2,9,6,3,9,5,4,12,10,6,0,5,17,100
100,58,48,103,89,3,8,5,4,8,6,3,7,6,4,8,8,1,6,7,4,15,10,7,0,5,16,82
82,22,102,140,63,46,6,6,4,6,6,4,8,8,0,7,6,3,8,4,4,17,12,8,0,4,15,66
66,65,13,79,83,154,6,5,4,8,4,3,6,6,3,5,6,4,8,7,0,18,14,9,0,4,14,49
49,140,111,14,102,67,8,6,0,6,6,2,8,3,3,4,6,4,6,4,4,18,17,10,0,4,13,36
36,67,25,111,79,82,4,5,4,7,3,3,6,4,3,6,6,1,8,5,0,18,19,12,0,4,12,35
35,66,67,38,63,23,7,5,0,6,4,2,6,3,3,6,5,1,4,4,4,19,21,13,0,4,11,36
36,66,48,65,22,50,5,4,2,5,5,1,6,5,0,4,3,4,5,3,3,22,22,13,0,4,10,37
127,141,123,50,103,94,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,83
83,102,124,133,74,37,10,8,4,10,8,4,10,8,4,11,7,4,10,8,4,7,3,3,1,5,22,114
114,23,92,140,130,83,9,8,4,10,7,4,10,7,4,9,8,4,9,8,4,9,4,3,0,5,20,115
115,132,93,67,124,102,9,7,4,9,7,4,9,7,4,8,8,4,8,8,4,12,5,3,0,5,19,126
126,140,86,79,130,23,8,7,4,8,7,4,9,7,3,7,8,4,9,6,4,13,7,4,0,5,18,114
114,52,124,82,93,37,8,6,4,6,8,4,8,6,4,9,7,2,8,6,4,14,9,5,0,5,17,126
126,23,79,153,67,100,7,6,4,9,7,1,6,7,4,8,5,4,8,5,4,14,12,6,0,5,16,114
114,22,63,140,66,81,7,5,4,9,6,1,6,7,3,7,5,4,7,5,4,15,14,7,0,5,15,115
115,64,82,100,65,89,6,5,4,6,5,4,9,5,1,7,4,4,6,7,2,16,16,8,0,5,14,108
108,128,63,67,113,101,6,7,1,5,5,4,7,3,4,8,5,1,5,5,4,19,17,9,0,4,13,119
119,82,111,114,80,187,4,5,4,7,3,3,7,5,1,4,5,4,6,6,1,22,18,10,0,3,12,136
136,63,132,153,67,198,3,5,4,6,5,1,7,3,2,4,4,4,5,6,1,24,19,11,0,3,11,135
135,13,186,140,65,139,4,4,3,4,6,1,5,5,1,3,4,4,6,3,2,26,20,12,0,3,10,108
108,140,67,198,89,128,5,3,2,3,3,4,3,6,1,4,4,2,5,5,0,28,20,14,0,3,9,115
115,128,89,187,105,135,5,3,1,3,3,3,2,6,1,3,4,2,5,4,0,30,21,16,0,2,8,114
114,188,129,161,71,108,1,6,1,4,4,0,5,2,1,2,3,3,2,4,2,34,22,16,0,1,7,131
131,128,142,187,116,55,5,1,1,3,4,0,0,6,1,2,3,2,1,3,3,36,24,16,0,1,6,130
130,157,89,185,140,127,3,3,0,1,2,3,0,5,1,5,1,0,2,2,2,35,28,17,0,1,5,124
124,133,13,153,115,139,3,2,0,1,2,2,0,5,0,1,2,2,4,1,0,36,29,19,0,1,4,77
77,140,154,114,130,67,2,2,0,0,4,0,0,2,2,3,1,0,1,2,1,39,30,20,0,0,3,58
58,153,124,82,133,114,0,3,0,2,1,0,1,1,1,2,1,0,0,2,2,40,32,20,0,0,2,57
57,123,180,127,65,114,1,1,0,0,2,0,1,1,0,1,0,1,0,2,2,41,34,20,0,0,1,43
127,103,91,94,117,174,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,126
126,105,173,129,86,77,10,8,4,10,8,4,10,8,4,10,8,4,11,7,4,6,4,3,1,5,22,82
82,94,118,103,174,89,11,6,4,9,8,4,9,8,4,9,8,4,10,7,4,8,6,3,0,4,20,66
66,173,142,102,140,93,8,8,4,8,8,4,8,8,4,10,7,3,10,6,4,11,6,4,0,4,19,49
49,79,188,103,141,154,10,6,3,7,8,4,7,8,4,7,8,4,9,7,3,14,6,5,0,4,18,36
36,133,102,187,93,156,6,8,4,6,8,4,6,8,4,10,6,2,9,6,3,16,7,6,0,4,17,49
49,94,127,86,140,185,10,5,2,6,7,4,6,7,4,9,5,3,6,7,4,15,12,6,0,4,16,50
50,102,128,74,52,82,6,6,4,6,7,3,10,4,2,6,6,4,9,4,3,14,16,7,0,4,15,38
38,39,46,89,67,65,5,6,4,10,4,1,6,7,2,6,5,4,9,3,3,14,18,9,0,4,14,24
24,55,51,22,13,66,6,6,2,4,6,4,9,2,3,10,4,0,5,5,4,15,20,10,0,4,13,37
37,82,23,89,67,14,4,5,4,9,1,3,6,5,2,3,6,4,10,3,0,16,23,10,0,4,12,36
